"certificate_number","address1","address2","address3","postcode","posttown","address","constituency","constituency_label","local_authority","local_authority_label","built_form","co2_emiss_curr_per_floor_area","co2_emissions_current","co2_emissions_potential","construction_age_band","current_energy_efficiency","current_energy_rating","energy_consumption_current","energy_consumption_potential","energy_tariff","environment_impact_current","environment_impact_potential","extension_count","fixed_lighting_outlets_count","flat_storey_count","flat_top_storey","floor_description","floor_energy_eff","floor_height","floor_level","glazed_area","glazed_type","heat_loss_corridor","heating_cost_current","heating_cost_potential","hot_water_cost_current","hot_water_cost_potential","hot_water_energy_eff","hot_water_env_eff","hotwater_description","inspection_date","lighting_cost_current","lighting_cost_potential","lighting_description","lighting_energy_eff","lighting_env_eff","lodgement_date","lodgement_datetime","low_energy_lighting","low_energy_fixed_lighting_outlets_count","main_fuel","mainheat_description","mainheat_energy_eff","mainheat_env_eff","mainheatc_energy_eff","mainheatc_env_eff","mainheatcont_description","main_heating_controls","mains_gas_flag","mechanical_ventilation","multi_glaze_proportion","number_habitable_rooms","number_heated_rooms","number_open_fireplaces","photo_supply","potential_energy_efficiency","potential_energy_rating","property_type","report_type","roof_description","roof_energy_eff","roof_env_eff","secondheat_description","sheating_energy_eff","sheating_env_eff","solar_water_heating_flag","tenure","total_floor_area","transaction_type","unheated_corridor_length","walls_description","walls_energy_eff","walls_env_eff","wind_turbine_count","windows_description","windows_energy_eff","windows_env_eff","floor_env_eff","region","country","uprn","uprn_source"
"2535-7841-3642-5793-5091","21 Broom Road","Hale",,"WA15 9AR","ALTRINCHAM","21 Broom Road, Hale","E14001065","Altrincham and Sale West","E08000009","Trafford","End-Terrace","49","5.4","2.2","England and Wales: 1900-1929","59","D","280","112","Single","51","80","1","27","2","N","Solid, no insulation (assumed)","N/A","2.58",,"Normal","double glazing, unknown install date",,"1336","790","137","94","Good","Good","From main system","2025-05-12","169","107","Low energy lighting in 41% of fixed outlets","Average","Average","2025-05-17","2025-05-17 08:13:15","41","11","mains gas (not community)","Boiler and radiators, mains gas","Good","Good","Average","Average","Programmer and room thermostat","Programmer and room thermostat","Y","natural","50","5","5","0","0","83","B","House","2","Pitched, 100 mm loft insulation","Average","Average","None","N/A","N/A","N","rented (private)","110","Marketed sale",,"Solid brick, as built, no insulation (assumed)","Very Poor","Very Poor","0","Partial double glazing","Poor","Poor","N/A","E12000002","England","100011625501","Energy Assessor"
"3900-4924-0622-0401-3553","16 Broom Road","Hale",,"WA15 9AR","ALTRINCHAM","16 Broom Road, Hale","E14001065","Altrincham and Sale West","E08000009","Trafford","Semi-Detached","33","4.4","2.3","England and Wales: 1900-1929","71","C","185","96","Single","65","82","1","19","2","N","To unheated space, no insulation (assumed)","N/A","2.36",,"Normal","double glazing, unknown install date",,"1108","776","134","134","Good","Good","From main system","2025-05-02","119","119","Low energy lighting in all fixed outlets","Very Good","Very Good","2025-05-02","2025-05-02 17:05:07","100","19","mains gas (not community)","Boiler and radiators, mains gas","Good","Good","Good","Good","Programmer, room thermostat and TRVs","Programmer, room thermostat and TRVs","Y","natural","100","6","6","0","0","85","B","House","2","Pitched, 200 mm loft insulation","Good","Good","None","N/A","N/A","N","owner-occupied","136","Marketed sale",,"Solid brick, as built, no insulation (assumed)","Very Poor","Very Poor","0","Fully double glazed","Average","Average","N/A","E12000002","England","100011625498","Energy Assessor"
"8363-7322-5300-4048-3922","9, Broom Road","Hale",,"WA15 9AR","ALTRINCHAM","9, Broom Road, Hale","E14001065","Altrincham and Sale West","E08000009","Trafford","End-Terrace","74","8.6","2.8","England and Wales: 1900-1929","40","E","402","129","Single","34","75","2","15","3","N","Solid, no insulation (assumed)","N/A","1.86",,"Normal","double glazing installed during or after 2002",,"1565","698","129","80","Very Good","Very Good","From main system, plus solar","2017-02-28","134","70","Low energy lighting in 7% of fixed outlets","Very Poor","Very Poor","2017-02-28","2017-02-28 18:11:07","7","1","mains gas (not community)","Boiler and radiators, mains gas","Good","Good","Good","Good","Programmer, room thermostat and TRVs","Programmer, room thermostat and TRVs","Y","natural","33","7","7","1","0","79","C","House","2","Pitched, 150 mm loft insulation","Good","Good","Room heaters, dual fuel (mineral and wood)","N/A","N/A","Y","owner-occupied","117","Marketed sale",,"Solid brick, as built, no insulation (assumed)","Very Poor","Very Poor","0","Partial double glazing","Poor","Poor","N/A","E12000002","England","100011625491","Energy Assessor"
"2468-4024-7272-2104-4920","16, Broom Road","Hale",,"WA15 9AR","ALTRINCHAM","16, Broom Road, Hale","E14001065","Altrincham and Sale West","E08000009","Trafford","Semi-Detached","60","5.5","1.8","England and Wales: 1900-1929","51","E","312","100","Single","46","82","1","11","2","N","Suspended, no insulation (assumed)","N/A","2.71",,"Normal","double glazing, unknown install date",,"983","513","135","93","Good","Good","From main system","2014-02-26","102","54","Low energy lighting in 9% of fixed outlets","Very Poor","Very Poor","2014-03-04","2014-03-04 08:45:42","9","1","mains gas (not community)","Boiler and radiators, mains gas","Good","Good","Good","Good","Programmer, room thermostat and TRVs","Programmer, room thermostat and TRVs","Y","natural","56","5","5","0","0","83","B","House","2","Pitched, 250 mm loft insulation","Good","Good","Room heaters, mains gas","N/A","N/A","N","Owner-occupied","92","Marketed sale",,"Solid brick, as built, no insulation (assumed)","Very Poor","Very Poor","0","Partial double glazing","Poor","Poor","N/A","E12000002","England","100011625498","Energy Assessor"
"0728-2031-7233-5098-0910","14, Broom Road","Hale",,"WA15 9AR","ALTRINCHAM","14, Broom Road, Hale","E14001065","Altrincham and Sale West","E08000009","Trafford","Semi-Detached","65","12","6.6","England and Wales: before 1900","50","E","307","163","Unknown","34","58","1","30","2","N","Suspended, no insulation (assumed)","N/A","2.57",,"Normal","double glazing installed before 2002",,"1805","1111","122","107","Good","Good","From main system","2018-07-02","94","96","Low energy lighting in all fixed outlets","Very Good","Very Good","2018-07-03","2018-07-03 21:06:25","100","30","mains gas (not community)","Boiler and radiators, mains gas","Good","Good","Average","Average","Programmer, TRVs and bypass","Programmer, TRVs and bypass","Y","natural","20","7","7","1","0","73","C","House","2","Pitched, no insulation (assumed)","Very Poor","Very Poor","Room heaters, coal","N/A","N/A","N","owner-occupied","182","Marketed sale",,"Solid brick, as built, no insulation (assumed)","Very Poor","Very Poor","0","Some double glazing","Very Poor","Very Poor","N/A","E12000002","England","100011625496","Energy Assessor"
"0370-2522-3180-2902-7875","25 Broom Road","Hale",,"WA15 9AR","ALTRINCHAM","25 Broom Road, Hale","E14001065","Altrincham and Sale West","E08000009","Trafford","End-Terrace","74","7.9","4.1","England and Wales: before 1900","40","E","401","207","Single","34","60","1","9","2","N","Suspended, no insulation (assumed)","N/A","2.76",,"Normal","double glazing, unknown install date",,"1356","916","80","55","Good","Good","From main system","2022-08-02","166","83","No low energy lighting","Very Poor","Very Poor","2022-08-11","2022-08-11 13:25:35","0","0","mains gas (not community)","Boiler and radiators, mains gas","Good","Good","Average","Average","Programmer, TRVs and bypass","Programmer, TRVs and bypass","Y","natural","100","6","6","3","0","69","C","House","2","Pitched, no insulation (assumed)","Very Poor","Very Poor","Room heaters, dual fuel (mineral and wood)","N/A","N/A","N","owner-occupied","107","Marketed sale",,"Solid brick, as built, no insulation (assumed)","Very Poor","Very Poor","0","Fully double glazed","Average","Average","N/A","E12000002","England","100011625503","Energy Assessor"
"2168-2048-6202-9852-8990","5, Broom Road","Hale",,"WA15 9AR","ALTRINCHAM","5, Broom Road, Hale","E14001065","Altrincham and Sale West","E08000009","Trafford","Mid-Terrace","39","5.1","5.0","England and Wales: 1900-1929","65","D","204","200","Single","61","62","1","14","3","N","Solid, no insulation (assumed)","N/A","1.97",,"Normal","double glazing installed during or after 2002",,"811","815","119","119","Good","Good","From main system","2012-02-26","91","60","Low energy lighting in 50% of fixed outlets","Good","Good","2012-02-26","2012-02-26 12:34:58","50","7","mains gas (not community)","Boiler and radiators, mains gas","Good","Good","Good","Good","Programmer, room thermostat and TRVs","Programmer, room thermostat and TRVs","Y","natural","20","8","8","0","0","66","D","House","2","Pitched, 100 mm loft insulation","Average","Average","None","N/A","N/A","N",,"130","marketed sale",,"Solid brick, as built, no insulation (assumed)","Very Poor","Very Poor","0","Some double glazing","Poor","Poor","N/A","E12000002","England","100011625487","Energy Assessor"
"8681-7722-6650-5222-6992","17, Broom Road","Hale",,"WA15 9AR","ALTRINCHAM","17, Broom Road, Hale","E14001065","Altrincham and Sale West","E08000009","Trafford","Mid-Terrace","40","5.8","2.6","England and Wales: 1900-1929","64","D","227","102","Single","56","80","3","22","2","N","Solid, no insulation (assumed)","N/A","2.8",,"Normal","double glazing, unknown install date",,"1005","580","106","107","Good","Good","From main system","2019-02-12","85","87","Low energy lighting in all fixed outlets","Very Good","Very Good","2019-03-19","2019-03-19 17:55:05","100","22","mains gas (not community)","Boiler and radiators, mains gas","Good","Good","Average","Average","Programmer, TRVs and bypass","Programmer, TRVs and bypass","Y","natural","18","8","8","0","0","84","B","House","2","Pitched, 270 mm loft insulation","Good","Good","None","N/A","N/A","N","owner-occupied","145","Marketed sale",,"Solid brick, as built, no insulation (assumed)","Very Poor","Very Poor","0","Some double glazing","Very Poor","Very Poor","N/A","E12000002","England","100011625499","Energy Assessor"
"9188-2005-6274-5931-9930","13, Broom Road","Hale",,"WA15 9AR","ALTRINCHAM","13, Broom Road, Hale","E14001065","Altrincham and Sale West","E08000009","Trafford","Semi-Detached","46","6.6","3.1","England and Wales: 1900-1929","61","D","259","120","Single","51","77","1","14","3","N","Solid, no insulation (assumed)","N/A","2.41",,"Normal","double glazing, unknown install date",,"1094","614","151","151","Good","Good","From main system","2019-04-18","86","86","Low energy lighting in all fixed outlets","Very Good","Very Good","2019-04-18","2019-04-18 17:37:11","100","14","mains gas (not community)","Boiler and radiators, mains gas","Good","Good","Very Good","Very Good","Time and temperature zone control","Time and temperature zone control","Y","natural","100","5","5","0","0","81","B","House","2","Pitched, 300 mm loft insulation","Very Good","Very Good","None","N/A","N/A","N","rented (private)","144","Rental",,"Solid brick, as built, no insulation (assumed)","Very Poor","Very Poor","0","Fully double glazed","Average","Average","N/A","E12000002","England","100011625495","Energy Assessor"
"8706-7625-4170-8482-4996","19, Broom Road","Hale",,"WA15 9AR","ALTRINCHAM","19, Broom Road, Hale","E14001065","Altrincham and Sale West","E08000009","Trafford","End-Terrace","68","10","4.3","England and Wales: before 1900","42","E","387","163","Unknown","34","68","1","24","3","N","Solid, no insulation (assumed)","N/A","1.9",,"Normal","double glazing installed before 2002",,"1900","970","101","101","Good","Good","From main system","2016-05-12","156","79","No low energy lighting","Very Poor","Very Poor","2016-05-12","2016-05-12 20:34:50","0","0","mains gas (not community)","Boiler and radiators, mains gas","Good","Good","Good","Good","Programmer, room thermostat and TRVs","Programmer, room thermostat and TRVs","Y","natural","30","7","7","2","0","75","C","House","2","Pitched, 150 mm loft insulation","Good","Good","Room heaters, mains gas","N/A","N/A","N","owner-occupied","147","Marketed sale",,"Solid brick, as built, no insulation (assumed)","Very Poor","Very Poor","0","Some double glazing","Poor","Poor","N/A","E12000002","England","100011625500","Energy Assessor"
